Current weekly total of notifications of infectious diseases in the past 4 weeks along with the cumulative total for the current year compared with corresponding periods ,,,,,,,
of the two preceding years,,,,,,,
,,,,,,,
"Notifications of Infectious Diseases, Week 1 - 41 2023, Northern Ireland",,,,,,,
,,,,,,,
,,,,,,,
,,,,,Cumulative Totals,,
Disease,Week 41 ,Week 40,Week 39 ,Week 38 ,2023,2022,2021
,,,,,Weeks ,Weeks ,Weeks 
,09/10 - 15/10,02/10 - 08/10,25/09 - 1/10,18/09 - 24/09,1-41,1-41,1-41
Acute Encephalitis/Meningitis Bacterial,1,2,0,0,31,9,4
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,1,0
Anthrax,0,0,0,0,0,0,0
Chickenpox,6,0,3,3,381,173,56
Cholera,0,0,0,0,1,0,0
Diphtheria,0,0,0,0,1,0,1
Dysentery,0,1,0,1,31,41,8
Food Poisoning,80,71,46,78,2374,1988,1940
Gastroenteritis (< 2years),1,0,0,0,7,6,5
Hepatitis A,0,0,0,0,4,1,3
Hepatitis B,1,0,0,0,103,90,76
Hepatitis C ,4,3,2,2,225,142,190
Hepatitis Unspecified,0,1,0,0,13,3,8
Legionnaires' Disease,1,0,0,1,10,6,2
Leptospirosis,0,0,1,0,1,0,1
Malaria,0,0,1,3,7,2,1
Measles,0,0,0,0,0,11,2
Meningococcal Septicaemia,0,0,0,0,2,0,1
Mumps,2,0,1,0,45,31,20
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,0,1,3
Scarlet Fever,11,5,3,4,1593,106,22
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0,2
Tuberculosis (Pulmonary),1,1,0,1,39,26,19
Tuberculosis (Non Pulmonary),0,0,1,1,18,11,10
Typhoid,0,0,0,0,2,3,1
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,0,0,0,0,3,8,2
Yellow Fever,0,0,0,0,0,0,0
Total,108,84,58,94,4891,2659,2377
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
,,,,,,,
*Data Provisional,,,,,,,
,,,,,,,
,,,,,,,
