Current weekly total of notifications of infectious diseases in the past 4 weeks along with the cumulative total for the current year compared with corresponding periods ,,,,,,,
of the two preceding years,,,,,,,
,,,,,,,
"Notifications of Infectious Diseases, Week 1 - 32 2023, Northern Ireland",,,,,,,
,,,,,,,
,,,,,,,
,,,,,Cumulative Totals,,
Disease,Week 32,Week 31 ,Week 30,Week 29 ,2023,2022,2021
,,,,,Weeks ,Weeks ,Weeks 
,07/08 - 13/08,31/07 - 06/08,24/07 - 30/07,17/07 - 23/07,1-32,1-32,1-32
Acute Encephalitis/Meningitis Bacterial,1,0,0,2,25,9,3
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,1,0
Anthrax,0,0,0,0,0,0,0
Chickenpox,9,0,3,5,360,158,45
Cholera,0,0,0,0,1,0,0
Diphtheria,0,0,0,0,1,0,1
Dysentery,3,3,4,0,27,29,4
Food Poisoning,63,101,73,52,1737,1309,1553
Gastroenteritis (< 2years),0,0,0,0,6,5,3
Hepatitis A,0,0,0,0,4,0,2
Hepatitis B,0,3,2,0,94,77,57
Hepatitis C ,1,6,4,7,172,115,153
Hepatitis Unspecified,1,0,0,0,10,0,8
Legionnaires' Disease,1,0,2,1,7,4,2
Leptospirosis,0,0,0,0,0,0,1
Malaria,1,0,1,0,2,1,0
Measles,0,0,0,0,0,7,1
Meningococcal Septicaemia,0,0,1,0,2,0,3
Mumps,0,1,0,0,36,15,13
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,0,1,3
Scarlet Fever,4,2,5,4,1562,72,12
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0,2
Tuberculosis (Pulmonary),2,2,5,1,31,18,14
Tuberculosis (Non Pulmonary),0,1,1,1,14,10,7
Typhoid,0,0,0,0,1,2,1
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,0,0,0,0,2,6,1
Yellow Fever,0,0,0,0,0,0,0
Total,86,119,101,73,4094,1839,1889
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
,,,,,,,
*Data Provisional,,,,,,,
,,,,,,,
,,,,,,,
