Current weekly total of notifications of infectious diseases in the past 4 weeks along with the cumulative total for the current year compared with corresponding periods ,,,,,,,
of the two preceding years,,,,,,,
,,,,,,,
"Notifications of Infectious Diseases, Week 1 - 28 2023, Northern Ireland",,,,,,,
,,,,,,,
,,,,,,,
,,,,,Cumulative Totals,,
Disease,Week 28,Week 27,Week 26 ,Week 25 ,2023,2022,2021
,,,,,Weeks ,Weeks ,Weeks 
,10/07 - 16/07,03/07 - 09/07,26/06 - 02/07,19/06 - 25/06,1-28,1-28,1-28
Acute Encephalitis/Meningitis Bacterial,1,0,2,0,22,8,3
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,1,0
Anthrax,0,0,0,0,0,0,0
Chickenpox,1,26,5,3,348,128,39
Cholera,0,0,0,0,1,0,0
Diphtheria,0,0,0,0,1,0,0
Dysentery,0,1,1,1,17,19,4
Food Poisoning,55,65,86,71,1500,1038,1350
Gastroenteritis (< 2years),0,1,0,0,6,5,2
Hepatitis A,0,0,0,0,4,0,2
Hepatitis B,0,0,1,1,74,65,51
Hepatitis C ,3,2,6,7,150,96,126
Hepatitis Unspecified,0,0,0,1,9,0,8
Legionnaires' Disease,0,0,0,0,4,3,2
Leptospirosis,0,0,0,0,0,0,1
Malaria,0,0,0,0,0,1,0
Measles,0,0,0,0,0,7,0
Meningococcal Septicaemia,0,0,0,0,1,0,0
Mumps,0,0,0,0,35,14,8
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,0,1,2
Scarlet Fever,0,7,3,1,1551,62,11
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0,2
Tuberculosis (Pulmonary),0,1,0,1,22,13,13
Tuberculosis (Non Pulmonary),0,2,1,0,12,8,6
Typhoid,0,0,0,0,1,1,1
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,1,0,0,0,2,5,1
Yellow Fever,0,0,0,0,0,0,0
Total,61,105,105,86,3760,1475,1632
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
,,,,,,,
*Data Provisional,,,,,,,
,,,,,,,
,,,,,,,
