Current weekly total of notifications of infectious diseases in the past 4 weeks along with the cumulative total for the current year compared with corresponding periods ,,,,,,,
of the two preceding years,,,,,,,
,,,,,,,
"Notifications of Infectious Diseases, Week 1 - 52 2023, Northern Ireland",,,,,,,
,,,,,,,
,,,,,,,
,,,,,Cumulative Totals,,
Disease,Week 52 ,Week 51 ,Week 50,Week 49 ,2023,2022,2021
,25/12 - 31/12,18/12 - 24/12,11/12 - 17/12,04/12 - 10/12,1-52,1-52,1-52
Acute Encephalitis/Meningitis Bacterial,0,0,1,1,38,14,6
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,1,0
Anthrax,0,0,0,0,0,0,0
Chickenpox,3,7,3,7,420,229,80
Cholera,0,0,0,0,1,0,0
Diphtheria,0,0,0,0,1,0,2
Dysentery,1,2,1,0,39,54,10
Food Poisoning,23,52,48,48,2997,2616,2395
Gastroenteritis (< 2years),0,0,0,1,12,7,8
Hepatitis A,0,0,0,0,4,3,3
Hepatitis B,1,1,1,5,122,122,100
Hepatitis C ,1,3,2,6,194,228,121
Hepatitis Unspecified,0,1,0,0,14,12,8
Legionnaires' Disease,0,0,0,0,10,7,2
Leptospirosis,0,0,0,0,1,3,2
Malaria,0,0,0,1,9,2,1
Measles,0,0,0,0,0,11,6
Meningococcal Septicaemia,0,0,0,0,3,0,2
Mumps,1,3,5,0,62,43,23
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,0,1,3
Scarlet Fever,10,12,11,20,1708,903,45
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0,2
Tuberculosis (Pulmonary),0,0,1,0,44,36,33
Tuberculosis (Non Pulmonary),1,0,1,0,30,16,15
Typhoid,0,0,0,0,2,4,1
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,0,1,0,0,5,8,2
Yellow Fever,0,0,0,0,0,0,0
Total,41,82,74,89,5716,4320,2870
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
,,,,,,,
*Data Provisional,,,,,,,
,,,,,,,
,,,,,,,
