Current weekly total of notifications of infectious diseases in the past 4 weeks along with the cumulative total for the current year compared with corresponding periods ,,,,,,,
of the two preceding years,,,,,,,
,,,,,,,
"Notifications of Infectious Diseases, Week 1 - 37 2023, Northern Ireland",,,,,,,
,,,,,,,
,,,,,,,
,,,,,Cumulative Totals,,
Disease,Week 37 ,Week 36 ,Week 35,Week 34 ,2023,2022,2021
,,,,,Weeks ,Weeks ,Weeks 
,11/09 - 17/09,04/09 - 10/09,28/08 - 03/09,21/08 - 27/08,1-37,1-37,1-37
Acute Encephalitis/Meningitis Bacterial,2,0,1,1,29,9,4
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,1,0
Anthrax,0,0,0,0,0,0,0
Chickenpox,5,0,0,2,369,164,49
Cholera,0,0,0,0,1,0,0
Diphtheria,0,0,0,0,1,0,1
Dysentery,0,0,0,1,29,38,6
Food Poisoning,68,87,64,78,2101,1721,1767
Gastroenteritis (< 2years),0,0,0,0,6,6,3
Hepatitis A,0,0,0,0,4,1,3
Hepatitis B,0,0,0,0,95,83,66
Hepatitis C ,6,4,5,8,199,173,71
Hepatitis Unspecified,0,0,0,1,12,2,8
Legionnaires' Disease,0,1,0,0,8,5,2
Leptospirosis,0,0,0,0,0,0,1
Malaria,1,0,0,0,3,2,0
Measles,0,0,0,0,0,7,1
Meningococcal Septicaemia,0,0,0,0,2,0,1
Mumps,2,2,0,0,41,22,16
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,0,1,3
Scarlet Fever,1,2,0,2,1570,87,16
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0,2
Tuberculosis (Pulmonary),0,1,0,3,36,25,16
Tuberculosis (Non Pulmonary),0,1,0,0,16,11,9
Typhoid,0,0,1,0,2,2,1
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,0,0,0,0,3,6,2
Yellow Fever,0,0,0,0,0,0,0
Total,85,98,71,96,4527,2366,2048
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
,,,,,,,
*Data Provisional,,,,,,,
,,,,,,,
,,,,,,,
