Current weekly total of notifications of infectious diseases in the past 4 weeks along with the cumulative total for the current year compared with corresponding periods ,,,,,,,
of the two preceding years,,,,,,,
,,,,,,,
"Notifications of Infectious Diseases, Week 1 - 49 2023, Northern Ireland",,,,,,,
,,,,,,,
,,,,,,,
,,,,,Cumulative Totals,,
Disease,Week 49 ,Week 48,Week 47 ,Week 46 ,2023,2022,2021
,,,,,Weeks ,Weeks ,Weeks 
,04/12 - 10/12,27/11 - 03/12,20/11 - 26/11,13/11 - 19/11,1-49,1-49,1-49
Acute Encephalitis/Meningitis Bacterial,1,0,0,2,37,11,6
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,1,0
Anthrax,0,0,0,0,0,0,0
Chickenpox,7,0,2,4,407,214,73
Cholera,0,0,0,0,1,0,0
Diphtheria,0,0,0,0,1,0,2
Dysentery,0,2,0,1,35,49,10
Food Poisoning,48,63,56,54,2874,2489,2310
Gastroenteritis (< 2years),1,0,2,1,12,7,8
Hepatitis A,0,0,0,0,4,3,3
Hepatitis B,5,0,0,2,118,116,91
Hepatitis C ,6,5,1,1,273,184,223
Hepatitis Unspecified,0,0,0,0,13,8,8
Legionnaires' Disease,0,0,0,0,10,7,2
Leptospirosis,0,0,0,0,1,3,2
Malaria,1,0,0,0,10,2,1
Measles,0,0,0,0,0,11,5
Meningococcal Septicaemia,0,0,0,0,3,0,2
Mumps,0,1,1,1,53,39,23
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,0,1,3
Scarlet Fever,20,11,14,11,1675,404,42
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0,2
Tuberculosis (Pulmonary),0,0,1,2,43,35,27
Tuberculosis (Non Pulmonary),0,2,0,3,28,15,14
Typhoid,0,0,0,0,2,4,1
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,0,0,0,0,4,8,2
Yellow Fever,0,0,0,0,0,0,0
Total,89,84,77,82,5604,3611,2860
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
,,,,,,,
*Data Provisional,,,,,,,
,,,,,,,
,,,,,,,
