Current weekly total of notifications of infectious diseases in the past 4 weeks along with the cumulative total for the current year compared with corresponding periods ,,,,,,,
of the two preceding years,,,,,,,
,,,,,,,
"Notifications of Infectious Diseases, Week 1 - 45 2023, Northern Ireland",,,,,,,
,,,,,,,
,,,,,,,
,,,,,Cumulative Totals,,
Disease,Week 45,Week 44 ,Week 43,Week 42,2023,2022,2021
,,,,,Weeks ,Weeks ,Weeks 
,06/11 - 12/11,30/10 - 05/11,23/10 - 29/10,16/10 - 22/10,1-45,1-45,1-45
Acute Encephalitis/Meningitis Bacterial,0,1,0,0,34,10,4
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,1,0
Anthrax,0,0,0,0,0,0,0
Chickenpox,2,4,3,0,394,198,63
Cholera,0,0,0,0,1,0,0
Diphtheria,0,0,0,0,1,0,1
Dysentery,0,0,0,1,32,46,9
Food Poisoning,64,78,57,80,2653,2293,2137
Gastroenteritis (< 2years),1,0,0,0,8,7,5
Hepatitis A,0,0,0,0,4,2,3
Hepatitis B,0,0,0,0,104,98,84
Hepatitis C ,5,4,4,0,254,166,204
Hepatitis Unspecified,0,0,0,0,13,6,8
Legionnaires' Disease,0,0,0,0,10,7,2
Leptospirosis,0,0,0,0,1,3,1
Malaria,0,1,0,0,8,2,1
Measles,0,0,0,0,0,11,2
Meningococcal Septicaemia,0,1,0,0,3,0,1
Mumps,1,2,0,2,50,34,21
Paratyphoid Fever,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0
Poliomyelitis (Paralytic),0,0,0,0,0,0,0
Poliomyelitis (Acute),0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0
Relapsing Fever,0,0,0,0,0,0,0
Rubella,0,0,0,0,0,1,3
Scarlet Fever,9,6,8,3,1619,150,29
Smallpox,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0,2
Tuberculosis (Pulmonary),1,0,0,0,40,30,25
Tuberculosis (Non Pulmonary),0,3,1,1,23,13,11
Typhoid,0,0,0,0,2,4,1
Typhus,0,0,0,0,0,0,0
Viral Haemorraghic Fever,0,0,0,0,0,0,0
Whooping Cough,1,0,0,0,4,8,2
Yellow Fever,0,0,0,0,0,0,0
Total,84,100,73,87,5258,3090,2619
,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,,,,,,
,,,,,,,
*Data Provisional,,,,,,,
,,,,,,,
,,,,,,,
